n,game_id,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Home_ToP,Home_xG,Away_xG,Home_shots,Away_shots,Home_corner,Away_corner,Home_PK_Goal,Away_PK_Goal,Home_PK_shots,Away_PK_shots,Home xG/S %,Away xG/S %
1,game_2023_1,PRO,MAN,1,1,Draw,0.53,1.63,0.34,17,8,5,4,0,0,0,0,9.59%,4.25%
2,game_2023_2,FOR,LEX,1,0,Home,0.57,0.98,0.9,9,11,5,2,0,0,0,0,10.89%,8.18%
3,game_2023_3,SJU,DES,1,2,Away,0.47,1.23,1.11,16,9,6,7,0,0,0,0,7.69%,12.33%
4,game_2023_4,FAR,ANC,0,1,Away,0.51,2.27,1.08,4,14,8,3,0,0,0,0,56.75%,7.71%
5,game_2023_5,DOV,BAK,0,0,Draw,0.53,1.9,0.56,17,6,5,3,0,0,0,0,11.18%,9.33%
6,game_2023_6,ALB,LAR,1,1,Draw,0.54,0.62,0.78,11,17,9,4,0,0,0,0,5.64%,4.59%
7,game_2023_7,SAS,MOB,0,0,Draw,0.44,0.75,0.38,14,12,7,6,0,0,0,0,5.36%,3.17%
8,game_2023_8,CHM,EUG,0,0,Draw,0.57,1.54,1.18,11,3,8,0,0,0,0,0,14.00%,39.33%
9,game_2023_9,TOL,JAC,1,2,Away,0.49,1.2,1.2,17,20,6,4,0,0,0,0,7.06%,6.00%
10,game_2023_10,REN,OAK,1,1,Draw,0.57,0.7,0.17,7,7,4,6,0,0,0,0,10.00%,2.43%
11,game_2023_11,SFS,AUG,1,1,Draw,0.54,1.34,1.2,6,11,2,1,0,0,0,0,22.33%,10.91%
12,game_2023_12,TUC,BOI,1,5,Away,0.53,1.06,2.09,17,14,7,7,0,0,1,1,6.24%,14.93%
13,game_2023_13,LRO,TAC,1,1,Draw,0.44,2.17,0.23,13,5,8,5,0,0,0,1,16.69%,4.60%
14,game_2023_14,ANC,LRO,1,0,Home,0.36,1.74,1,17,9,4,5,0,0,0,0,10.24%,11.11%
15,game_2023_15,WIC,CHM,1,1,Draw,0.46,1.29,0.91,16,11,13,4,0,0,0,0,8.06%,8.27%
16,game_2023_16,LAR,SAS,2,1,Home,0.48,1.88,0.32,18,3,3,2,0,0,0,0,10.44%,10.67%
17,game_2023_17,LEX,SJU,0,0,Draw,0.49,0.49,0.28,12,9,3,5,0,0,0,0,4.08%,3.11%
18,game_2023_18,TAC,TUC,1,3,Away,0.58,0.9,2.11,18,18,7,10,0,0,0,0,5.00%,11.72%
19,game_2023_19,DES,SFS,2,2,Draw,0.49,1.42,0.87,20,10,6,8,0,0,0,1,7.10%,8.70%
20,game_2023_20,BAK,OAK,1,2,Away,0.55,1.27,1.64,9,20,2,3,0,0,0,0,14.11%,8.20%
21,game_2023_21,EUG,AUG,2,1,Home,0.53,1.16,1.44,10,11,5,5,0,0,0,0,11.60%,13.09%
22,game_2023_22,MAN,TOL,3,1,Home,0.53,0.67,1.53,19,18,9,9,0,0,0,0,3.53%,8.50%
23,game_2023_23,JAC,DOV,2,3,Away,0.65,1.01,2.42,7,17,5,5,0,0,0,0,14.43%,14.24%
24,game_2023_24,MOB,SPR,1,0,Home,0.67,1.42,0.7,15,6,6,4,0,0,1,1,9.47%,11.67%
25,game_2023_25,BOI,REN,1,1,Draw,0.48,2.21,0.78,24,9,10,0,0,0,0,0,9.21%,8.67%
26,game_2023_26,FOR,PRO,1,2,Away,0.58,2.05,0.77,17,14,2,2,0,0,0,0,12.06%,5.50%
27,game_2023_27,FAR,ALB,3,2,Home,0.69,2.26,1.16,17,10,8,6,0,0,1,0,13.29%,11.60%
28,game_2023_28,ALB,FOR,2,2,Draw,0.39,1.04,1.25,15,12,1,2,0,0,0,0,6.93%,10.42%
29,game_2023_29,SJU,MAN,1,2,Away,0.55,2.31,2.1,19,20,4,3,0,0,1,0,12.16%,10.50%
30,game_2023_30,TOL,LEX,1,1,Draw,0.69,2.18,1.27,22,9,6,4,0,0,0,0,9.91%,14.11%
31,game_2023_31,REN,SFS,0,1,Away,0.37,1.5,0.83,18,10,4,7,0,0,0,0,8.33%,8.30%
32,game_2023_32,PRO,FAR,3,1,Home,0.47,1.61,1.16,16,19,9,2,0,0,0,0,10.06%,6.11%
33,game_2023_33,AUG,JAC,0,2,Away,0.51,1.63,1.16,9,8,2,2,0,0,0,0,18.11%,14.50%
34,game_2023_34,SAS,OAK,0,2,Away,0.57,0.29,0.99,10,15,2,2,0,0,0,0,2.90%,6.60%
35,game_2023_35,LAR,BOI,3,0,Home,0.5,2.03,0.5,14,7,4,5,0,0,0,0,14.50%,7.14%
36,game_2023_36,DOV,WIC,0,2,Away,0.31,1.11,1.34,9,13,7,4,0,0,0,0,12.33%,10.31%
37,game_2023_37,ANC,TAC,3,1,Home,0.44,3.05,0.81,17,5,6,1,0,0,1,1,17.94%,16.20%
38,game_2023_38,CHM,MOB,0,2,Away,0.48,1.85,1.14,15,5,6,2,0,0,0,0,12.33%,22.80%
39,game_2023_39,TUC,EUG,3,1,Home,0.58,2.18,0.51,14,10,4,9,1,0,1,0,15.57%,5.10%
40,game_2023_40,LRO,DES,1,1,Draw,0.6,1.67,0.55,14,9,7,3,0,0,0,0,11.93%,6.11%
41,game_2023_41,SPR,BAK,3,3,Draw,0.48,0.9,1.18,11,8,4,4,0,0,0,1,8.18%,14.75%
42,game_2023_42,TUC,ANC,2,0,Home,0.58,1.67,0.95,14,16,5,2,0,0,0,0,11.93%,5.94%
43,game_2023_43,MOB,SJU,0,1,Away,0.5,0.57,1.49,5,9,9,8,0,0,1,0,11.40%,16.56%
44,game_2023_44,LEX,PRO,0,1,Away,0.49,1.14,0.58,12,8,5,6,0,0,0,0,9.50%,7.25%
45,game_2023_45,LRO,JAC,0,1,Away,0.54,0.95,1.89,11,11,8,3,0,0,0,0,8.64%,17.18%
46,game_2023_46,DES,LAR,1,2,Away,0.49,0.58,1.33,14,17,2,7,0,0,0,1,4.14%,7.82%
47,game_2023_47,BOI,OAK,2,0,Home,0.42,1.38,0.41,18,14,4,11,0,0,0,0,7.67%,2.93%
48,game_2023_48,SFS,TOL,2,1,Home,0.62,1.63,1.05,20,10,6,6,0,0,0,0,8.15%,10.50%
49,game_2023_49,AUG,DOV,3,3,Draw,0.73,0.84,0.82,10,18,7,3,0,0,0,0,8.40%,4.56%
50,game_2023_50,SAS,ALB,2,1,Home,0.49,1.53,0.55,20,2,6,1,0,0,0,0,7.65%,27.50%
51,game_2023_51,BAK,WIC,1,2,Away,0.38,1.45,1.15,5,10,7,5,0,0,0,0,29.00%,11.50%
52,game_2023_52,MAN,TAC,4,1,Home,0.54,1.84,0.09,12,6,7,4,0,0,0,0,15.33%,1.50%
53,game_2023_53,SPR,CHM,2,1,Home,0.44,0.83,0.69,12,15,5,6,0,0,1,1,6.92%,4.60%
54,game_2023_54,FOR,REN,0,4,Away,0.61,1.92,1.21,10,18,6,4,0,0,0,0,19.20%,6.72%
55,game_2023_55,FAR,EUG,1,0,Home,0.62,1.24,0.84,14,11,4,5,0,0,0,0,8.86%,7.64%
56,game_2023_56,DES,LEX,2,1,Home,0.58,1.48,1.05,15,5,6,7,0,0,0,0,9.87%,21.00%
57,game_2023_57,TAC,BOI,0,2,Away,0.61,1.57,1.01,17,15,4,0,0,0,0,0,9.24%,6.73%
58,game_2023_58,ALB,TOL,1,2,Away,0.52,1.09,1.91,7,15,10,9,0,0,0,0,15.57%,12.73%
59,game_2023_59,SJU,LRO,0,0,Draw,0.44,1.36,1.32,17,8,4,5,0,0,0,0,8.00%,16.50%
60,game_2023_60,WIC,FOR,1,1,Draw,0.64,1.42,2.16,10,8,3,5,0,0,0,0,14.20%,27.00%
61,game_2023_61,DOV,DES,1,2,Away,0.42,2.21,0.32,19,4,7,7,0,0,1,0,11.63%,8.00%
62,game_2023_62,MAN,SAS,1,1,Draw,0.53,1.63,0.54,22,1,3,7,0,0,0,0,7.41%,54.00%
63,game_2023_63,PRO,TUC,4,0,Home,0.54,1.61,0.65,24,11,2,2,0,0,0,0,6.71%,5.91%
64,game_2023_64,TOL,FAR,2,3,Away,0.61,1.24,1.52,16,14,2,1,0,0,1,0,7.75%,10.86%
65,game_2023_65,LEX,JAC,1,2,Away,0.42,1.88,2.04,23,16,10,8,0,0,1,0,8.17%,12.75%
66,game_2023_66,CHM,OAK,1,1,Draw,0.66,1.15,0.62,17,10,7,8,0,0,0,1,6.76%,6.20%
67,game_2023_67,MOB,AUG,2,2,Draw,0.43,1.43,0.36,8,9,3,3,0,0,0,1,17.88%,4.00%
68,game_2023_68,LAR,SPR,0,2,Away,0.66,1.17,1.51,16,13,11,2,0,0,1,0,7.31%,11.62%
69,game_2023_69,ANC,BOI,1,1,Draw,0.63,1.74,1.25,4,13,16,2,0,0,0,0,43.50%,9.62%
70,game_2023_70,BAK,REN,0,2,Away,0.44,2.06,1.14,16,16,5,6,0,0,0,0,12.88%,7.13%
71,game_2023_71,EUG,TAC,0,3,Away,0.48,1.52,2.57,15,20,5,8,0,0,0,0,10.13%,12.85%
72,game_2023_72,ALB,SFS,1,3,Away,0.49,2.21,2.32,23,12,6,1,0,0,0,2,9.61%,19.33%
73,game_2023_73,TOL,MAN,1,1,Draw,0.62,0.56,1.1,10,12,5,2,0,0,1,0,5.60%,9.17%
74,game_2023_74,DOV,CHM,2,2,Draw,0.31,1.97,0.78,27,3,8,4,0,0,1,0,7.30%,26.00%
75,game_2023_75,SAS,ANC,1,2,Away,0.35,2.49,0.82,25,11,7,3,0,0,0,0,9.96%,7.45%
76,game_2023_76,SFS,FAR,0,5,Away,0.43,0.9,1.2,9,9,3,2,0,0,0,0,10.00%,13.33%
77,game_2023_77,SPR,JAC,1,1,Draw,0.5,1.23,0.5,6,11,1,4,0,0,0,0,20.50%,4.55%
78,game_2023_78,PRO,LAR,5,1,Home,0.37,0.72,1.61,16,11,2,3,0,0,0,0,4.50%,14.64%
79,game_2023_79,TAC,OAK,2,3,Away,0.52,1.74,1.12,24,13,3,4,0,0,1,0,7.25%,8.62%
80,game_2023_80,EUG,ALB,1,1,Draw,0.5,0.83,1.48,12,16,4,3,0,0,1,0,6.92%,9.25%
81,game_2023_81,TUC,WIC,2,1,Home,0.33,2.72,0.38,16,8,8,2,0,0,0,0,17.00%,4.75%
82,game_2023_82,BOI,MOB,2,0,Home,0.48,2.26,1.24,17,15,0,4,0,0,0,0,13.29%,8.27%
83,game_2023_83,DES,LRO,1,2,Away,0.51,0.67,1.45,15,15,2,5,0,0,0,0,4.47%,9.67%
84,game_2023_84,FOR,BAK,2,1,Home,0.57,2.11,1.03,14,11,9,6,0,0,0,0,15.07%,9.36%
85,game_2023_85,SJU,FOR,2,3,Away,0.42,2.61,1.69,19,13,3,6,0,0,0,0,13.74%,13.00%
86,game_2023_86,LAR,DES,2,0,Home,0.4,1.36,0.6,17,10,5,2,0,0,0,0,8.00%,6.00%
87,game_2023_87,BAK,ANC,2,2,Draw,0.51,2.59,1.09,19,19,13,2,0,0,0,0,13.63%,5.74%
88,game_2023_88,SPR,SAS,4,1,Home,0.53,2.67,0.96,24,16,5,3,0,0,0,0,11.13%,6.00%
89,game_2023_89,MAN,SFS,7,2,Home,0.53,3.22,0.33,28,12,12,7,0,0,0,0,11.50%,2.75%
90,game_2023_90,REN,PRO,2,1,Home,0.61,0.79,0.7,12,11,8,5,1,0,2,1,6.58%,6.36%
91,game_2023_91,WIC,OAK,0,3,Away,0.65,0.5,1.61,13,17,8,3,0,0,0,0,3.85%,9.47%
92,game_2023_92,CHM,TOL,2,1,Home,0.6,1.88,0.81,15,8,3,1,0,0,0,1,12.53%,10.13%
93,game_2023_93,MOB,DOV,2,3,Away,0.54,1.97,0.62,6,14,6,1,1,0,1,0,32.83%,4.43%
94,game_2023_94,TUC,ALB,1,3,Away,0.53,2.52,2,13,15,3,4,0,0,1,0,19.38%,13.33%
95,game_2023_95,JAC,EUG,2,1,Home,0.54,2.6,0.5,16,8,4,6,0,0,1,0,16.25%,6.25%
96,game_2023_96,AUG,BOI,2,1,Home,0.56,1.77,0.67,16,6,8,3,0,0,0,0,11.06%,11.17%
97,game_2023_97,FAR,TAC,3,0,Home,0.52,3.07,0.24,26,17,10,5,0,0,0,0,11.81%,1.41%
98,game_2023_98,BAK,MAN,2,1,Home,0.56,1.99,0.27,22,9,3,8,0,0,0,0,9.05%,3.00%
99,game_2023_99,TAC,CHM,0,2,Away,0.53,1.57,1.45,17,9,3,2,0,0,0,0,9.24%,16.11%
100,game_2023_100,ANC,DES,2,1,Home,0.53,2.71,0.66,26,13,9,5,0,0,0,0,10.42%,5.08%
101,game_2023_101,SAS,TUC,1,0,Home,0.5,1.44,0.65,15,14,7,4,0,0,1,0,9.60%,4.64%
102,game_2023_102,DOV,JAC,2,0,Home,0.46,1.34,0.41,14,8,5,9,0,0,0,0,9.57%,5.13%
103,game_2023_103,SJU,LAR,2,3,Away,0.32,1.61,1.09,14,9,4,2,0,0,0,0,11.50%,12.11%
104,game_2023_104,SFS,OAK,2,1,Home,0.66,1.72,1.65,11,15,3,1,0,0,0,0,15.64%,11.00%
105,game_2023_105,ALB,BOI,1,1,Draw,0.53,1.64,1.95,15,14,6,2,0,0,0,0,10.93%,13.93%
106,game_2023_106,WIC,REN,1,1,Draw,0.56,2.04,1.07,17,13,2,1,0,0,0,0,12.00%,8.23%
107,game_2023_107,FOR,EUG,1,7,Away,0.67,1.38,1.51,16,13,7,2,0,0,0,0,8.63%,11.62%
108,game_2023_108,PRO,LRO,0,4,Away,0.37,0.97,1.74,23,16,1,0,0,0,0,0,4.22%,10.88%
109,game_2023_109,LEX,FAR,1,0,Home,0.45,1.02,0.24,20,10,8,4,0,0,1,0,5.10%,2.40%
110,game_2023_110,TOL,SPR,3,1,Home,0.64,1.35,0.7,13,15,5,3,1,0,1,0,10.38%,4.67%
111,game_2023_111,AUG,MOB,1,0,Home,0.58,2.22,0.27,22,6,6,3,0,0,0,0,10.09%,4.50%
112,game_2023_112,JAC,LRO,1,2,Away,0.39,2.15,1.39,15,12,6,2,0,0,1,0,14.33%,11.58%
113,game_2023_113,TUC,FOR,3,1,Home,0.4,2.8,1.36,21,9,10,3,0,0,0,0,13.33%,15.11%
114,game_2023_114,MOB,LEX,1,1,Draw,0.65,2.18,0.92,16,8,0,4,0,0,0,0,13.63%,11.50%
115,game_2023_115,TOL,DES,2,1,Home,0.42,1.43,0.54,19,13,7,4,0,0,0,0,7.53%,4.15%
116,game_2023_116,TAC,SAS,1,2,Away,0.56,0.41,0.62,11,8,2,2,0,1,1,2,3.73%,7.75%
117,game_2023_117,CHM,SJU,3,1,Home,0.43,1.52,0.32,19,6,2,6,0,0,2,0,8.00%,5.33%
118,game_2023_118,BOI,SFS,1,1,Draw,0.37,2.02,0.54,16,2,5,2,0,0,0,0,12.63%,27.00%
119,game_2023_119,LAR,PRO,0,1,Away,0.66,1.27,0.47,11,11,9,4,0,0,0,0,11.55%,4.27%
120,game_2023_120,ANC,ALB,3,2,Home,0.52,3.27,1.48,28,13,5,6,0,0,1,0,11.68%,11.38%
121,game_2023_121,MAN,SPR,0,0,Draw,0.44,1.44,1.03,18,11,2,7,0,0,0,0,8.00%,9.36%
122,game_2023_122,FAR,BAK,2,2,Draw,0.54,2.63,1.37,25,0,4,4,0,0,0,0,10.52%,#DIV/0!
123,game_2023_123,OAK,DOV,1,1,Draw,0.6,0.98,1.48,16,19,7,3,0,0,0,0,6.13%,7.79%
124,game_2023_124,AUG,WIC,3,1,Home,0.54,2.61,1.03,17,13,4,10,0,0,0,0,15.35%,7.92%
125,game_2023_125,LEX,MOB,2,0,Home,0.6,2.61,0.78,21,12,3,7,0,0,0,0,12.43%,6.50%
126,game_2023_126,LRO,MAN,2,1,Home,0.61,1.16,0.82,16,14,1,5,0,0,1,0,7.25%,5.86%
127,game_2023_127,BAK,LEX,0,2,Away,0.53,1.01,1.08,24,15,3,6,0,0,0,0,4.21%,7.20%
128,game_2023_128,LAR,CHM,3,3,Draw,0.64,3.65,0.93,29,7,9,3,0,0,0,0,12.59%,13.29%
129,game_2023_129,WIC,ANC,0,4,Away,0.59,0.71,1.49,10,14,5,6,0,0,0,0,7.10%,10.64%
130,game_2023_130,SJU,TUC,5,4,Home,0.46,3.29,1.15,17,12,6,5,0,0,0,0,19.35%,9.58%
131,game_2023_131,DES,PRO,2,0,Home,0.53,1.8,0.98,17,11,12,4,0,0,0,0,10.59%,8.91%
132,game_2023_132,JAC,TOL,3,1,Home,0.59,0.53,0.63,6,9,4,2,0,0,1,0,8.83%,7.00%
133,game_2023_133,FAR,DOV,2,2,Draw,0.66,2.04,1.83,21,11,10,5,0,0,0,0,9.71%,16.64%
134,game_2023_134,SPR,ALB,7,2,Home,0.5,0.92,1.28,11,14,7,3,0,0,1,0,8.36%,9.14%
135,game_2023_135,SAS,REN,4,1,Home,0.57,1.05,1.21,18,13,5,9,0,0,0,0,5.83%,9.31%
136,game_2023_136,AUG,TAC,2,1,Home,0.53,2.51,1.46,19,12,6,4,0,0,0,0,13.21%,12.17%
137,game_2023_137,FOR,SFS,1,3,Away,0.55,1.11,1.16,9,12,6,1,0,0,0,0,12.33%,9.67%
138,game_2023_138,OAK,BOI,2,3,Away,0.54,0.72,1.39,4,18,5,4,0,0,0,0,18.00%,7.72%
139,game_2023_139,EUG,MOB,0,1,Away,0.45,1.13,0.69,16,8,7,4,0,0,0,0,7.06%,8.63%
140,game_2023_140,BOI,FOR,1,1,Draw,0.45,1.51,0.36,19,10,5,8,0,0,0,0,7.95%,3.60%
141,game_2023_141,MAN,LEX,1,1,Draw,0.61,1.28,1.77,16,11,8,5,0,0,0,0,8.00%,16.09%
142,game_2023_142,AUG,CHM,1,1,Draw,0.53,1.91,0.29,15,3,8,6,0,0,0,0,12.73%,9.67%
143,game_2023_143,SFS,SAS,1,1,Draw,0.6,1.06,1.23,5,11,3,4,0,0,0,0,21.20%,11.18%
144,game_2023_144,PRO,SJU,2,0,Home,0.57,0.91,0.23,1,6,9,3,1,0,1,0,91.00%,3.83%
145,game_2023_145,ANC,FAR,1,1,Draw,0.39,1.18,1.27,9,16,1,6,0,0,1,0,13.11%,7.94%
146,game_2023_146,DES,JAC,0,2,Away,0.55,0.21,0.92,8,3,5,7,0,0,0,0,2.63%,30.67%
147,game_2023_147,TUC,OAK,0,2,Away,0.38,0.65,0.72,9,5,6,0,0,0,0,0,7.22%,14.40%
148,game_2023_148,MOB,TOL,1,2,Away,0.48,2.18,1.17,20,11,9,3,0,0,0,0,10.90%,10.64%
149,game_2023_149,DOV,SPR,4,4,Draw,0.6,2.74,1.95,20,14,6,5,0,0,0,0,13.70%,13.93%
150,game_2023_150,EUG,WIC,2,1,Home,0.39,1.58,0.45,10,9,7,5,0,0,0,1,15.80%,5.00%
151,game_2023_151,ALB,TAC,1,0,Home,0.41,1.66,0.56,17,10,5,2,0,0,0,1,9.76%,5.60%
152,game_2023_152,REN,BAK,2,4,Away,0.58,2.19,0.84,20,11,8,2,0,0,0,0,10.95%,7.64%
153,game_2023_153,LRO,LAR,1,2,Away,0.57,1.03,1.66,7,12,3,5,0,0,1,0,14.71%,13.83%
154,game_2023_154,FAR,FOR,2,0,Home,0.58,2.09,0.14,19,2,3,2,0,0,0,0,11.00%,7.00%
155,game_2023_155,SPR,MAN,2,0,Home,0.44,0.22,0.34,9,14,5,6,0,0,0,0,2.44%,2.43%
156,game_2023_156,TAC,ANC,4,0,Home,0.4,1.34,0.94,13,10,10,7,1,0,1,0,10.31%,9.40%
157,game_2023_157,EUG,SAS,0,3,Away,0.43,0.59,1.6,15,15,8,4,0,0,0,0,3.93%,10.67%
158,game_2023_158,BAK,SFS,0,0,Draw,0.43,1.02,1.06,9,14,7,5,0,0,0,0,11.33%,7.57%
